Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,A,0,MINISTRY OF ENERGY AND MINERAL DEVELOPMENT,EG_EGY_PRIM,,MJ_PER_GDP_CON_PPP_USD,575.0
2016,A,0,MINISTRY OF ENERGY AND MINERAL DEVELOPMENT,EG_EGY_PRIM,,MJ_PER_GDP_CON_PPP_USD,664.0
2017,A,0,MINISTRY OF ENERGY AND MINERAL DEVELOPMENT,EG_EGY_PRIM,,MJ_PER_GDP_CON_PPP_USD,632.0
2018,A,0,MINISTRY OF ENERGY AND MINERAL DEVELOPMENT,EG_EGY_PRIM,,MJ_PER_GDP_CON_PPP_USD,622.0
2019,A,0,MINISTRY OF ENERGY AND MINERAL DEVELOPMENT,EG_EGY_PRIM,,MJ_PER_GDP_CON_PPP_USD,607.0
2020,A,0,MINISTRY OF ENERGY AND MINERAL DEVELOPMENT,EG_EGY_PRIM,,MJ_PER_GDP_CON_PPP_USD,673.0
2021,A,0,MINISTRY OF ENERGY AND MINERAL DEVELOPMENT,EG_EGY_PRIM,,MJ_PER_GDP_CON_PPP_USD,528.6
2022,A,0,MINISTRY OF ENERGY AND MINERAL DEVELOPMENT,EG_EGY_PRIM,,MJ_PER_GDP_CON_PPP_USD,446.6
2023,A,0,MINISTRY OF ENERGY AND MINERAL DEVELOPMENT,EG_EGY_PRIM,,MJ_PER_GDP_CON_PPP_USD,452.0
2024,A,0,MINISTRY OF ENERGY AND MINERAL DEVELOPMENT,EG_EGY_PRIM,,MJ_PER_GDP_CON_PPP_USD,418.8
