Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,Value
2016,A,0,Food And Agricultural Organisation,ER_CBD_ABSCLRHS,,BOOL,1
2024,A,0,Food And Agricultural Organisation,ER_CBD_ABSCLRHS,,BOOL,1
2021,A,0,Food And Agricultural Organisation,ER_CBD_NAGOYA,,BOOL,1
2023,A,0,Food And Agricultural Organisation,ER_CBD_NAGOYA,,BOOL,1
2024,A,0,Food And Agricultural Organisation,ER_CBD_NAGOYA,,BOOL,1
2016,A,0,Food And Agricultural Organisation,ER_CBD_ORSPGRFA,,BOOL,0
2017,A,0,Food And Agricultural Organisation,ER_CBD_ORSPGRFA,,BOOL,0
2018,A,0,Food And Agricultural Organisation,ER_CBD_ORSPGRFA,,BOOL,0
2019,A,0,Food And Agricultural Organisation,ER_CBD_ORSPGRFA,,BOOL,0
2020,A,0,Food And Agricultural Organisation,ER_CBD_ORSPGRFA,,BOOL,0
2021,A,0,Food And Agricultural Organisation,ER_CBD_ORSPGRFA,,BOOL,0
2022,A,0,Food And Agricultural Organisation,ER_CBD_ORSPGRFA,,BOOL,0
2023,A,0,Food And Agricultural Organisation,ER_CBD_ORSPGRFA,,BOOL,1
2024,A,0,Food And Agricultural Organisation,ER_CBD_ORSPGRFA,,BOOL,1
2015,A,0,Food And Agricultural Organisation,ER_CBD_PTYPGRFA,,BOOL,1
2016,A,0,Food And Agricultural Organisation,ER_CBD_PTYPGRFA,,BOOL,1
2017,A,0,Food And Agricultural Organisation,ER_CBD_PTYPGRFA,,BOOL,1
2018,A,0,Food And Agricultural Organisation,ER_CBD_PTYPGRFA,,BOOL,1
2019,A,0,Food And Agricultural Organisation,ER_CBD_PTYPGRFA,,BOOL,1
2020,A,0,Food And Agricultural Organisation,ER_CBD_PTYPGRFA,,BOOL,1
2021,A,0,Food And Agricultural Organisation,ER_CBD_PTYPGRFA,,BOOL,1
2022,A,0,Food And Agricultural Organisation,ER_CBD_PTYPGRFA,,BOOL,1
2023,A,0,Food And Agricultural Organisation,ER_CBD_PTYPGRFA,,BOOL,1
2024,A,0,Food And Agricultural Organisation,ER_CBD_PTYPGRFA,,BOOL,1
2015,A,0,Food And Agricultural Organisation,ER_CBD_SMTA,,NUMBER,190
2016,A,0,Food And Agricultural Organisation,ER_CBD_SMTA,,NUMBER,214
2017,A,0,Food And Agricultural Organisation,ER_CBD_SMTA,,NUMBER,276
2018,A,0,Food And Agricultural Organisation,ER_CBD_SMTA,,NUMBER,337
2019,A,0,Food And Agricultural Organisation,ER_CBD_SMTA,,NUMBER,366
2020,A,0,Food And Agricultural Organisation,ER_CBD_SMTA,,NUMBER,384
2021,A,0,Food And Agricultural Organisation,ER_CBD_SMTA,,NUMBER,385
2022,A,0,Food And Agricultural Organisation,ER_CBD_SMTA,,NUMBER,385
2023,A,0,Food And Agricultural Organisation,ER_CBD_SMTA,,NUMBER,412
2024,A,0,Food And Agricultural Organisation,ER_CBD_SMTA,,NUMBER,412
