Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Time period details,Value
2024,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government Expenditure on Digital Transformation,Percent,,119.2
2025,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government Expenditure on Digital Transformation,Percent,,136.1
2010,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Education,Percent,,97.0
2011,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Education,Percent,,99.1
2012,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Education,Percent,,97.3
2013,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Education,Percent,,95.0
2014,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Education,Percent,,96.2
2015,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Education,Percent,,95.2
2016,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Education,Percent,,83.0
2017,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Education,Percent,,80.0
2018,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Education,Percent,,81.0
2019,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Education,Percent,,86.0
2020,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Education,Percent,,93.0
2021,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Education,Percent,,91.0
2022,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Education,Percent,,98.7
2010,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Energy and Mineral Development,Percent,,95.4
2011,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Energy and Mineral Development,Percent,,152.2
2012,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Energy and Mineral Development,Percent,,89.9
2013,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Energy and Mineral Development,Percent,,9.3
2014,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Energy and Mineral Development,Percent,,14.1
2015,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Energy and Mineral Development,Percent,,52.0
2016,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Energy and Mineral Development,Percent,,18.0
2017,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Energy and Mineral Development,Percent,,25.0
2018,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Energy and Mineral Development,Percent,,33.0
2019,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Energy and Mineral Development,Percent,,47.0
2020,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Energy and Mineral Development,Percent,,32.0
2021,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Energy and Mineral Development,Percent,,38.0
2022,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Energy and Mineral Development,Percent,,106.3
2023,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government Expenditure on Governance and Security,Percent,,108.9
2024,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government Expenditure on Governance and Security,Percent,,113.5
2025,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government Expenditure on Governance and Security,Percent,,111.8
2010,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Health,Percent,,95.7
2011,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Health,Percent,,98.3
2012,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Health,Percent,,97.6
2013,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Health,Percent,,97.9
2014,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Health,Percent,,96.0
2015,Normal value,Units,"Minitry of Finance, Planning and Economic Development","""Primary government expenditures as a proportion of original approved budget",,Primary Government expenditure on Health,Percent,,95.4
