Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Time period details,Value
2020,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,"""Primary Government expenditure on Science",Percent,2021,103.0
2021,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,"""Primary Government expenditure on Science",Percent,2021,60.0
2016,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,"""Primary Government expenditure on Tourism",Percent,2021,52.0
2017,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,"""Primary Government expenditure on Tourism",Percent,2021,48.0
2018,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,"""Primary Government expenditure on Tourism",Percent,2021,57.0
2019,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,"""Primary Government expenditure on Tourism",Percent,2021,42.0
2020,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,"""Primary Government expenditure on Tourism",Percent,2021,53.0
2021,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,"""Primary Government expenditure on Tourism",Percent,2021,83.0
2016,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Water and Environment,Percent,2021,104.0
2017,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Water and Environment,Percent,2021,79.0
2018,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Water and Environment,Percent,2021,106.0
2019,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Water and Environment,Percent,2021,86.0
2020,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Water and Environment,Percent,2021,76.0
2021,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Water and Environment,Percent,2021,63.0
2016,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Water and Transport,Percent,2021,64.0
2017,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Water and Transport,Percent,2021,64.0
2018,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Water and Transport,Percent,2021,74.0
2019,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Water and Transport,Percent,2021,80.0
2020,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Water and Transport,Percent,2021,61.0
2021,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Water and Transport,Percent,2021,89.0
