Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,UNIT_MEASURE,Value
2006,Normal value,Units,MINISTRY OF ENERGY AND MINERAL DEVELOPMENT,Renewable energy share in the total final energy consumption [7.2.1],,Percent,25.5
2015,Normal value,Units,MINISTRY OF ENERGY AND MINERAL DEVELOPMENT,Renewable energy share in the total final energy consumption [7.2.1],,Percent,89.5
2016,Normal value,Units,MINISTRY OF ENERGY AND MINERAL DEVELOPMENT,Renewable energy share in the total final energy consumption [7.2.1],,Percent,88.6
2017,Normal value,Units,MINISTRY OF ENERGY AND MINERAL DEVELOPMENT,Renewable energy share in the total final energy consumption [7.2.1],,Percent,88.1
2018,Normal value,Units,MINISTRY OF ENERGY AND MINERAL DEVELOPMENT,Renewable energy share in the total final energy consumption [7.2.1],,Percent,87.7
2019,Normal value,Units,MINISTRY OF ENERGY AND MINERAL DEVELOPMENT,Renewable energy share in the total final energy consumption [7.2.1],,Percent,87.4
2020,Normal value,Units,MINISTRY OF ENERGY AND MINERAL DEVELOPMENT,Renewable energy share in the total final energy consumption [7.2.1],,Percent,90.5
2021,Normal value,Units,MINISTRY OF ENERGY AND MINERAL DEVELOPMENT,Renewable energy share in the total final energy consumption [7.2.1],,Percent,89.1
2022,Normal value,Units,MINISTRY OF ENERGY AND MINERAL DEVELOPMENT,Renewable energy share in the total final energy consumption [7.2.1],,Percent,87.7
2023,Normal value,Units,MINISTRY OF ENERGY AND MINERAL DEVELOPMENT,Renewable energy share in the total final energy consumption [7.2.1],,Percent,87.4
2024,Normal value,Units,MINISTRY OF ENERGY AND MINERAL DEVELOPMENT,Renewable energy share in the total final energy consumption [7.2.1],,Percent,86.8
