Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,Sex,UNIT_MEASURE,Value
2006,Normal value,Units,Uganda Demographic Health Survey 2022,Proportion of children moderately or severely wasted [2.2.2],,,Percent,6.0
2011,Normal value,Units,Uganda Demographic Health Survey 2022,Proportion of children moderately or severely wasted [2.2.2],,,Percent,5.0
2016,Normal value,Units,Uganda Demographic Health Survey 2022,Proportion of children moderately or severely wasted [2.2.2],,,Percent,3.5
2022,Normal value,Units,Uganda Demographic Health Survey 2022,Proportion of children moderately or severely wasted [2.2.2],,,Percent,3.2
2016,Normal value,Units,Uganda Demographic Health Survey 2022,Proportion of children moderately or severely wasted [2.2.2],,Female,Percent,3.0
2022,Normal value,Units,Uganda Demographic Health Survey 2022,Proportion of children moderately or severely wasted [2.2.2],,Female,Percent,2.7
2016,Normal value,Units,Uganda Demographic Health Survey 2022,Proportion of children moderately or severely wasted [2.2.2],,Male,Percent,4.1
2022,Normal value,Units,Uganda Demographic Health Survey 2022,Proportion of children moderately or severely wasted [2.2.2],,Male,Percent,3.8
2006,Normal value,Units,UDHS,Proportion of children moderately or severely overweight [2.2.2],,,Percent,4.0
2011,Normal value,Units,UDHS,Proportion of children moderately or severely overweight [2.2.2],,,Percent,3.4
2016,Normal value,Units,UDHS,Proportion of children moderately or severely overweight [2.2.2],,,Percent,3.7
2016,Normal value,Units,Uganda Demographic Health Survey 2022,Proportion of children moderately or severely overweight [2.2.2],,Female,Percent,2.6
2022,Normal value,Units,Uganda Demographic Health Survey 2022,Proportion of children moderately or severely overweight [2.2.2],,Female,Percent,3.2
2016,Normal value,Units,Uganda Demographic Health Survey 2022,Proportion of children moderately or severely overweight [2.2.2],,Male,Percent,4.9
2022,Normal value,Units,Uganda Demographic Health Survey 2022,Proportion of children moderately or severely overweight [2.2.2],,Male,Percent,3.6
