Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,UNIT_MEASURE,Value
2015,Normal value,Units,MoFPED,Debt service as a proportion of exports of goods and services [17.4.1],,Percent,1.8
2016,Normal value,Units,MoFPED,Debt service as a proportion of exports of goods and services [17.4.1],,Percent,2.1
2017,Normal value,Units,MoFPED,Debt service as a proportion of exports of goods and services [17.4.1],,Percent,2.3
2018,Normal value,Units,MoFPED,Debt service as a proportion of exports of goods and services [17.4.1],,Percent,5.8
2019,Normal value,Units,MoFPED,Debt service as a proportion of exports of goods and services [17.4.1],,Percent,7.8
2020,Normal value,Units,MoFPED,Debt service as a proportion of exports of goods and services [17.4.1],,Percent,6.7
2021,Normal value,Units,MoFPED,Debt service as a proportion of exports of goods and services [17.4.1],,Percent,10.0
2022,Normal value,Units,MoFPED,Debt service as a proportion of exports of goods and services [17.4.1],,Percent,10.5
2023,Normal value,Units,MoFPED,Debt service as a proportion of exports of goods and services [17.4.1],,Percent,10.8
2024,Normal value,Units,MoFPED,Debt service as a proportion of exports of goods and services [17.4.1],,Percent,10.2
2025,Normal value,Units,MoFPED,Debt service as a proportion of exports of goods and services [17.4.1],,Percent,8.7
