Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,UNIT_MEASURE,Value
2015,Normal value,Units,Uganda Prisons Services,Unsentenced detainees as a proportion of overall prison population [16.3.2],,Percent,54.9
2016,Normal value,Units,Uganda Prisons Services,Unsentenced detainees as a proportion of overall prison population [16.3.2],,Percent,55.1
2017,Normal value,Units,Uganda Prisons Services,Unsentenced detainees as a proportion of overall prison population [16.3.2],,Percent,51.8
2018,Normal value,Units,Uganda Prisons Services,Unsentenced detainees as a proportion of overall prison population [16.3.2],,Percent,51.8
2019,Normal value,Units,Uganda Prisons Services,Unsentenced detainees as a proportion of overall prison population [16.3.2],,Percent,48.1
2020,Normal value,Units,Uganda Prisons Services,Unsentenced detainees as a proportion of overall prison population [16.3.2],,Percent,54.5
2021,Normal value,Units,Uganda Prisons Services,Unsentenced detainees as a proportion of overall prison population [16.3.2],,Percent,51.6
2022,Normal value,Units,Uganda Prisons Services,Unsentenced detainees as a proportion of overall prison population [16.3.2],,Percent,47.5
2023,Normal value,Units,Uganda Prisons Services,Unsentenced detainees as a proportion of overall prison population [16.3.2],,Percent,47.4
2024,Normal value,Units,Uganda Prisons Services,Unsentenced detainees as a proportion of overall prison population [16.3.2],,Percent,47.2
