Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
2015,Normal value,Units,Annual Crime Report,"Detected victims of human trafficking, by age and sex (per 100,000 population) [16.2.2]",,"Per 1,000 population",2020,0.977
2016,Normal value,Units,Annual Crime Report,"Detected victims of human trafficking, by age and sex (per 100,000 population) [16.2.2]",,"Per 1,000 population",2020,0.772
2017,Normal value,Units,Annual Crime Report,"Detected victims of human trafficking, by age and sex (per 100,000 population) [16.2.2]",,"Per 1,000 population",2020,0.885
2018,Normal value,Units,Annual Crime Report,"Detected victims of human trafficking, by age and sex (per 100,000 population) [16.2.2]",,"Per 1,000 population",2020,1.664
2019,Normal value,Units,Annual Crime Report,"Detected victims of human trafficking, by age and sex (per 100,000 population) [16.2.2]",,"Per 1,000 population",2020,1.129
2020,Normal value,Units,Annual Crime Report,"Detected victims of human trafficking, by age and sex (per 100,000 population) [16.2.2]",,"Per 1,000 population",2020,1.602
