Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,UNIT_MEASURE,Value
2015,Normal value,Units,NAGRIC Administrative data,Proportion of local breeds for which sufficient genetic resources are stored for reconstitution [2.5.1],,Percent,6
2016,Normal value,Units,NAGRIC Administrative data,Proportion of local breeds for which sufficient genetic resources are stored for reconstitution [2.5.1],,Percent,6
2017,Normal value,Units,NAGRIC Administrative data,Proportion of local breeds for which sufficient genetic resources are stored for reconstitution [2.5.1],,Percent,6
2018,Normal value,Units,NAGRIC Administrative data,Proportion of local breeds for which sufficient genetic resources are stored for reconstitution [2.5.1],,Percent,6
2019,Normal value,Units,NAGRIC Administrative data,Proportion of local breeds for which sufficient genetic resources are stored for reconstitution [2.5.1],,Percent,6
2020,Normal value,Units,NAGRIC Administrative data,Proportion of local breeds for which sufficient genetic resources are stored for reconstitution [2.5.1],,Percent,7
2015,Normal value,Units,NAGRIC Administrative data,Plant genetic resources accessions stored ex situ (number) [2.5.1],,Percent,515
2016,Normal value,Units,NAGRIC Administrative data,Plant genetic resources accessions stored ex situ (number) [2.5.1],,Percent,255
2017,Normal value,Units,NAGRIC Administrative data,Plant genetic resources accessions stored ex situ (number) [2.5.1],,Percent,362
2018,Normal value,Units,NAGRIC Administrative data,Plant genetic resources accessions stored ex situ (number) [2.5.1],,Percent,520
2019,Normal value,Units,NAGRIC Administrative data,Plant genetic resources accessions stored ex situ (number) [2.5.1],,Percent,11
2020,Normal value,Units,NAGRIC Administrative data,Plant genetic resources accessions stored ex situ (number) [2.5.1],,Percent,296
