Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,UNIT_MEASURE,Value
2015,Normal value,Units,"Ministry of Tourism, Wildlife and Antiquetes - Administrative data","""Total expenditure (public and private) per capita spent on the preservation",,Number,2.4
2016,Normal value,Units,"Ministry of Tourism, Wildlife and Antiquetes - Administrative data","""Total expenditure (public and private) per capita spent on the preservation",,Number,3.3
2017,Normal value,Units,"Ministry of Tourism, Wildlife and Antiquetes - Administrative data","""Total expenditure (public and private) per capita spent on the preservation",,Number,4.0
2018,Normal value,Units,"Ministry of Tourism, Wildlife and Antiquetes - Administrative data","""Total expenditure (public and private) per capita spent on the preservation",,Number,3.0
2019,Normal value,Units,"Ministry of Tourism, Wildlife and Antiquetes - Administrative data","""Total expenditure (public and private) per capita spent on the preservation",,Number,2.7
2020,Normal value,Units,"Ministry of Tourism, Wildlife and Antiquetes - Administrative data","""Total expenditure (public and private) per capita spent on the preservation",,Number,4.0
2021,Normal value,Units,"Ministry of Tourism, Wildlife and Antiquetes - Administrative data","""Total expenditure (public and private) per capita spent on the preservation",,Number,5.4
2015,Normal value,Units,Uganda Wildlife Authority - Administrative Data,"""Total expenditure per capita spent on cultural heritage",,Number,42.7
2016,Normal value,Units,Uganda Wildlife Authority - Administrative Data,"""Total expenditure per capita spent on cultural heritage",,Number,57.9
2017,Normal value,Units,Uganda Wildlife Authority - Administrative Data,"""Total expenditure per capita spent on cultural heritage",,Number,67.7
2018,Normal value,Units,Uganda Wildlife Authority - Administrative Data,"""Total expenditure per capita spent on cultural heritage",,Number,104.7
2019,Normal value,Units,Uganda Wildlife Authority - Administrative Data,"""Total expenditure per capita spent on cultural heritage",,Number,78.2
2020,Normal value,Units,Uganda Wildlife Authority - Administrative Data,"""Total expenditure per capita spent on cultural heritage",,Number,129.7
2021,Normal value,Units,Uganda Wildlife Authority - Administrative Data,"""Total expenditure per capita spent on cultural heritage",,Number,119.5
2015,Normal value,Units,"Ministry of Tourism, Wildlife and Antiquities. MTWA - Administrative Data","""Total expenditure per capita spent on cultural heritage",,Local currency,2.37
2016,Normal value,Units,"Ministry of Tourism, Wildlife and Antiquities. MTWA - Administrative Data","""Total expenditure per capita spent on cultural heritage",,Local currency,3.29
2017,Normal value,Units,"Ministry of Tourism, Wildlife and Antiquities. MTWA - Administrative Data","""Total expenditure per capita spent on cultural heritage",,Local currency,4.0
2018,Normal value,Units,"Ministry of Tourism, Wildlife and Antiquities. MTWA - Administrative Data","""Total expenditure per capita spent on cultural heritage",,Local currency,3.01
2019,Normal value,Units,"Ministry of Tourism, Wildlife and Antiquities. MTWA - Administrative Data","""Total expenditure per capita spent on cultural heritage",,Local currency,2.73
2020,Normal value,Units,"Ministry of Tourism, Wildlife and Antiquities. MTWA - Administrative Data","""Total expenditure per capita spent on cultural heritage",,Local currency,4.01
