Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,UNIT_MEASURE,Value
2015,Normal value,Units,Uganda Wildlife Authority,"""Proportion of traded wildlife that was poached or illicitly trafficked [15.7.1",,Percent,0.4
2016,Normal value,Units,Uganda Wildlife Authority,"""Proportion of traded wildlife that was poached or illicitly trafficked [15.7.1",,Percent,0.36
2017,Normal value,Units,Uganda Wildlife Authority,"""Proportion of traded wildlife that was poached or illicitly trafficked [15.7.1",,Percent,0.25
2018,Normal value,Units,Uganda Wildlife Authority,"""Proportion of traded wildlife that was poached or illicitly trafficked [15.7.1",,Percent,0.32
2019,Normal value,Units,Uganda Wildlife Authority,"""Proportion of traded wildlife that was poached or illicitly trafficked [15.7.1",,Percent,0.33
2020,Normal value,Units,Uganda Wildlife Authority,"""Proportion of traded wildlife that was poached or illicitly trafficked [15.7.1",,Percent,0.19
2021,Normal value,Units,Uganda Wildlife Authority,"""Proportion of traded wildlife that was poached or illicitly trafficked [15.7.1",,Percent,0.38
2022,Normal value,Units,Uganda Wildlife Authority,"""Proportion of traded wildlife that was poached or illicitly trafficked [15.7.1",,Percent,0.3
2023,Normal value,Units,Uganda Wildlife Authority,"""Proportion of traded wildlife that was poached or illicitly trafficked [15.7.1",,Percent,0.3
2024,Normal value,Units,Uganda Wildlife Authority,"""Proportion of traded wildlife that was poached or illicitly trafficked [15.7.1",,Percent,0.38
