Year,Observation status,Unit multiplier,SERIES,Reference area,Sex,UNIT_MEASURE,Time period details,Source details,Value
2017,Normal value,Units,Proportion of population that feel safe walking alone around the area they live in [16.1.4],,Female,Percent,2017,,55
2017,Normal value,Units,Proportion of population that feel safe walking alone around the area they live in [16.1.4],,Male,Percent,2017,NGPSS,65
2017,Normal value,Units,Proportion of population that feel safe walking alone around the area they live after dark [16.1.4],,,Percent,2017,,61
