Year,Sex,Value
2015,,3224
2018,,3698
2019,,3880
2021,,4159
2015,Female,690
2018,Female,769
2019,Female,918
2021,Female,808
2015,Male,2534
2018,Male,2920
2019,Male,2962
2021,Male,3351
