Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2015,Normal value,Units,Administrative data from CAA and URC,Freight volume (tonne kilometres) [9.1.2],,Cargo volume for Air transport,Tonne kilometres,54450.0
2016,Normal value,Units,Administrative data from CAA and URC,Freight volume (tonne kilometres) [9.1.2],,Cargo volume for Air transport,Tonne kilometres,59556.0
2017,Normal value,Units,Administrative data from CAA and URC,Freight volume (tonne kilometres) [9.1.2],,Cargo volume for Air transport,Tonne kilometres,69306.0
2018,Normal value,Units,Administrative data from CAA and URC,Freight volume (tonne kilometres) [9.1.2],,Cargo volume for Air transport,Tonne kilometres,63353.0
2019,Normal value,Units,Administrative data from CAA and URC,Freight volume (tonne kilometres) [9.1.2],,Cargo volume for Air transport,Tonne kilometres,64731.0
2020,Normal value,Units,Administrative data from CAA and URC,Freight volume (tonne kilometres) [9.1.2],,Cargo volume for Air transport,Tonne kilometres,58898.0
2021,Normal value,Units,Administrative data from CAA and URC,Freight volume (tonne kilometres) [9.1.2],,Cargo volume for Air transport,Tonne kilometres,53553.0
2016,Normal value,Units,Administrative data from CAA and URC,Freight volume (tonne kilometres) [9.1.2],,Cargo volume for Railway transport,Tonne kilometres,599847.0
2017,Normal value,Units,Administrative data from CAA and URC,Freight volume (tonne kilometres) [9.1.2],,Cargo volume for Railway transport,Tonne kilometres,355290.0
2018,Normal value,Units,Administrative data from CAA and URC,Freight volume (tonne kilometres) [9.1.2],,Cargo volume for Railway transport,Tonne kilometres,105723.0
2019,Normal value,Units,Administrative data from CAA and URC,Freight volume (tonne kilometres) [9.1.2],,Cargo volume for Railway transport,Tonne kilometres,193693.0
2020,Normal value,Units,Administrative data from CAA and URC,Freight volume (tonne kilometres) [9.1.2],,Cargo volume for Railway transport,Tonne kilometres,196935.0
2021,Normal value,Units,Administrative data from CAA and URC,Freight volume (tonne kilometres) [9.1.2],,Cargo volume for Railway transport,Tonne kilometres,390628.0
2017,Normal value,Units,Administrative data from CAA and URC,Freight volume (tonne kilometres) [9.1.2],,Cargo volume for water transport,Tonne kilometres,755.4
2018,Normal value,Units,Administrative data from CAA and URC,Freight volume (tonne kilometres) [9.1.2],,Cargo volume for water transport,Tonne kilometres,1186.4
2019,Normal value,Units,Administrative data from CAA and URC,Freight volume (tonne kilometres) [9.1.2],,Cargo volume for water transport,Tonne kilometres,1845.6
2020,Normal value,Units,Administrative data from CAA and URC,Freight volume (tonne kilometres) [9.1.2],,Cargo volume for water transport,Tonne kilometres,2110.1
2021,Normal value,Units,Administrative data from CAA and URC,Freight volume (tonne kilometres) [9.1.2],,Cargo volume for water transport,Tonne kilometres,2834.7
2014,Normal value,Units,Administrative data from CAA and URC,Freight volume (tonne kilometres) [9.1.2],,Mode of Transport: Air,Metric Tons,52842.0
