Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,UNIT_MEASURE,Value
2015,Normal value,Units,"Ministry of Lands, Housing and Urban Development (MLHUD) - Administrative Data",Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically [11.3.2],,Percent,100
2016,Normal value,Units,"Ministry of Lands, Housing and Urban Development (MLHUD) - Administrative Data",Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically [11.3.2],,Percent,100
2017,Normal value,Units,"Ministry of Lands, Housing and Urban Development (MLHUD) - Administrative Data",Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically [11.3.2],,Percent,100
2018,Normal value,Units,"Ministry of Lands, Housing and Urban Development (MLHUD) - Administrative Data",Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically [11.3.2],,Percent,100
2019,Normal value,Units,"Ministry of Lands, Housing and Urban Development (MLHUD) - Administrative Data",Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically [11.3.2],,Percent,100
2020,Normal value,Units,"Ministry of Lands, Housing and Urban Development (MLHUD) - Administrative Data",Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically [11.3.2],,Percent,100
2021,Normal value,Units,"Ministry of Lands, Housing and Urban Development (MLHUD) - Administrative Data",Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically [11.3.2],,Percent,100
2022,Normal value,Units,"Ministry of Lands, Housing and Urban Development (MLHUD) - Administrative Data",Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically [11.3.2],,Percent,100
2023,Normal value,Units,"Ministry of Lands, Housing and Urban Development (MLHUD) - Administrative Data",Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically [11.3.2],,Percent,100
2024,Normal value,Units,"Ministry of Lands, Housing and Urban Development (MLHUD) - Administrative Data",Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically [11.3.2],,Percent,100
2025,Normal value,Units,"Ministry of Lands, Housing and Urban Development (MLHUD) - Administrative Data",Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically [11.3.2],,Percent,100
