Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,UNIT_MEASURE,Value
2018,Normal value,Units,"UN Women, Organisation for Economic Co-operation and Development, United Nations Development Programme (UNDP)",Proportion of countries with systems to track and make public allocations for gender equality and women's empowerment [5.c.1],,Score,1
2021,Normal value,Units,"UN Women, Organisation for Economic Co-operation and Development, United Nations Development Programme (UNDP)",Proportion of countries with systems to track and make public allocations for gender equality and women's empowerment [5.c.1],,Score,2
2024,Normal value,Units,"UN Women, Organisation for Economic Co-operation and Development, United Nations Development Programme (UNDP)",Proportion of countries with systems to track and make public allocations for gender equality and women's empowerment [5.c.1],,Score,2
