Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,UNIT_MEASURE,Value
2015,Normal value,Units,Ministry of Gender and Social Development - Adminsitrative Data,Recruitment cost borne by employee as a proportion of yearly income earned in country of destination [10.7.1],,USD,3.3
2016,Normal value,Units,Ministry of Gender and Social Development - Adminsitrative Data,Recruitment cost borne by employee as a proportion of yearly income earned in country of destination [10.7.1],,USD,3.1
2017,Normal value,Units,Ministry of Gender and Social Development - Adminsitrative Data,Recruitment cost borne by employee as a proportion of yearly income earned in country of destination [10.7.1],,USD,3.1
2018,Normal value,Units,Ministry of Gender and Social Development - Adminsitrative Data,Recruitment cost borne by employee as a proportion of yearly income earned in country of destination [10.7.1],,USD,3.0
2019,Normal value,Units,Ministry of Gender and Social Development - Adminsitrative Data,Recruitment cost borne by employee as a proportion of yearly income earned in country of destination [10.7.1],,USD,3.1
2020,Normal value,Units,Ministry of Gender and Social Development - Adminsitrative Data,Recruitment cost borne by employee as a proportion of yearly income earned in country of destination [10.7.1],,USD,3.1
2021,Normal value,Units,Ministry of Gender and Social Development - Adminsitrative Data,Recruitment cost borne by employee as a proportion of yearly income earned in country of destination [10.7.1],,USD,3.1
2022,Normal value,Units,Ministry of Gender and Social Development - Adminsitrative Data,Recruitment cost borne by employee as a proportion of yearly income earned in country of destination [10.7.1],,USD,3.1
2023,Normal value,Units,Ministry of Gender and Social Development - Adminsitrative Data,Recruitment cost borne by employee as a proportion of yearly income earned in country of destination [10.7.1],,USD,2.9
2024,Normal value,Units,Ministry of Gender and Social Development - Adminsitrative Data,Recruitment cost borne by employee as a proportion of yearly income earned in country of destination [10.7.1],,USD,3.3
