Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,Sex,UNIT_MEASURE,Value
2016,Normal value,Units,NLFS,Manufacturing employment as a proportion of total employment - 13th ICLS (%) [9.2.2],,,Percent,9.4
2017,Normal value,Units,NLFS,Manufacturing employment as a proportion of total employment - 13th ICLS (%) [9.2.2],,,Percent,4.7
2018,Normal value,Units,NLFS,Manufacturing employment as a proportion of total employment - 13th ICLS (%) [9.2.2],,,Percent,5.9
2019,Normal value,Units,NLFS,Manufacturing employment as a proportion of total employment - 13th ICLS (%) [9.2.2],,,Percent,5.8
2016,Normal value,Units,NLFS,Manufacturing employment as a proportion of total employment - 13th ICLS (%) [9.2.2],,Female,Percent,8.1
2017,Normal value,Units,NLFS,Manufacturing employment as a proportion of total employment - 13th ICLS (%) [9.2.2],,Female,Percent,3.4
2018,Normal value,Units,NLFS,Manufacturing employment as a proportion of total employment - 13th ICLS (%) [9.2.2],,Female,Percent,6.7
2019,Normal value,Units,NLFS,Manufacturing employment as a proportion of total employment - 13th ICLS (%) [9.2.2],,Female,Percent,6.2
2016,Normal value,Units,NLFS,Manufacturing employment as a proportion of total employment - 13th ICLS (%) [9.2.2],,Male,Percent,10.2
2017,Normal value,Units,NLFS,Manufacturing employment as a proportion of total employment - 13th ICLS (%) [9.2.2],,Male,Percent,6.2
2018,Normal value,Units,NLFS,Manufacturing employment as a proportion of total employment - 13th ICLS (%) [9.2.2],,Male,Percent,5.1
2019,Normal value,Units,NLFS,Manufacturing employment as a proportion of total employment - 13th ICLS (%) [9.2.2],,Male,Percent,5.2
2016,Normal value,Units,NATIONAL LABOUR FORCE SURVEY,Manufacturing employment as a proportion of total employment - 19th ICLS(%) [9.2.2],,,Percent,9.4
2017,Normal value,Units,NATIONAL LABOUR FORCE SURVEY,Manufacturing employment as a proportion of total employment - 19th ICLS(%) [9.2.2],,,Percent,4.7
2018,Normal value,Units,NATIONAL LABOUR FORCE SURVEY,Manufacturing employment as a proportion of total employment - 19th ICLS(%) [9.2.2],,,Percent,5.9
2019,Normal value,Units,NATIONAL LABOUR FORCE SURVEY,Manufacturing employment as a proportion of total employment - 19th ICLS(%) [9.2.2],,,Percent,5.8
2021,Normal value,Units,NATIONAL LABOUR FORCE SURVEY,Manufacturing employment as a proportion of total employment - 19th ICLS(%) [9.2.2],,,Percent,8.3
2016,Normal value,Units,NATIONAL LABOUR FORCE SURVEY,Manufacturing employment as a proportion of total employment - 19th ICLS(%) [9.2.2],,Female,Percent,8.1
2017,Normal value,Units,NATIONAL LABOUR FORCE SURVEY,Manufacturing employment as a proportion of total employment - 19th ICLS(%) [9.2.2],,Female,Percent,3.4
2018,Normal value,Units,NATIONAL LABOUR FORCE SURVEY,Manufacturing employment as a proportion of total employment - 19th ICLS(%) [9.2.2],,Female,Percent,6.7
2019,Normal value,Units,NATIONAL LABOUR FORCE SURVEY,Manufacturing employment as a proportion of total employment - 19th ICLS(%) [9.2.2],,Female,Percent,6.2
2021,Normal value,Units,NATIONAL LABOUR FORCE SURVEY,Manufacturing employment as a proportion of total employment - 19th ICLS(%) [9.2.2],,Female,Percent,8.1
2016,Normal value,Units,NATIONAL LABOUR FORCE SURVEY,Manufacturing employment as a proportion of total employment - 19th ICLS(%) [9.2.2],,Male,Percent,10.2
2017,Normal value,Units,NATIONAL LABOUR FORCE SURVEY,Manufacturing employment as a proportion of total employment - 19th ICLS(%) [9.2.2],,Male,Percent,6.2
2018,Normal value,Units,NATIONAL LABOUR FORCE SURVEY,Manufacturing employment as a proportion of total employment - 19th ICLS(%) [9.2.2],,Male,Percent,5.1
2019,Normal value,Units,NATIONAL LABOUR FORCE SURVEY,Manufacturing employment as a proportion of total employment - 19th ICLS(%) [9.2.2],,Male,Percent,5.2
2021,Normal value,Units,NATIONAL LABOUR FORCE SURVEY,Manufacturing employment as a proportion of total employment - 19th ICLS(%) [9.2.2],,Male,Percent,8.4
