Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,UNIT_MEASURE,Value
2015,Normal value,Units,UNCTAD and WTO.,Developing countries’ and least developed countries’ share of global merchandise exports [17.11.1],,Percent,0.013685
2016,Normal value,Units,UNCTAD and WTO.,Developing countries’ and least developed countries’ share of global merchandise exports [17.11.1],,Percent,0.015466
2017,Normal value,Units,UNCTAD and WTO.,Developing countries’ and least developed countries’ share of global merchandise exports [17.11.1],,Percent,0.016357
2018,Normal value,Units,UNCTAD and WTO.,Developing countries’ and least developed countries’ share of global merchandise exports [17.11.1],,Percent,0.015794
2019,Normal value,Units,UNCTAD and WTO.,Developing countries’ and least developed countries’ share of global merchandise exports [17.11.1],,Percent,0.018749
2020,Normal value,Units,UNCTAD and WTO.,Developing countries’ and least developed countries’ share of global merchandise exports [17.11.1],,Percent,0.023507
2021,Normal value,Units,UNCTAD and WTO.,Developing countries’ and least developed countries’ share of global merchandise exports [17.11.1],,Percent,0.017781
2022,Normal value,Units,UNCTAD and WTO.,Developing countries’ and least developed countries’ share of global merchandise exports [17.11.1],,Percent,0.015153
2023,Normal value,Units,UNCTAD and WTO.,Developing countries’ and least developed countries’ share of global merchandise exports [17.11.1],,Percent,0.025877
2015,Normal value,Units,UNCTAD and WTO.,Developing countries’ and least developed countries’ share of global services exports [17.11.1],,Percent,0.040902
2016,Normal value,Units,UNCTAD and WTO.,Developing countries’ and least developed countries’ share of global services exports [17.11.1],,Percent,0.037446
2017,Normal value,Units,UNCTAD and WTO.,Developing countries’ and least developed countries’ share of global services exports [17.11.1],,Percent,0.029508
2018,Normal value,Units,UNCTAD and WTO.,Developing countries’ and least developed countries’ share of global services exports [17.11.1],,Percent,0.03727
2019,Normal value,Units,UNCTAD and WTO.,Developing countries’ and least developed countries’ share of global services exports [17.11.1],,Percent,0.032656
2020,Normal value,Units,UNCTAD and WTO.,Developing countries’ and least developed countries’ share of global services exports [17.11.1],,Percent,0.022045
2021,Normal value,Units,UNCTAD and WTO.,Developing countries’ and least developed countries’ share of global services exports [17.11.1],,Percent,0.027431
2022,Normal value,Units,UNCTAD and WTO.,Developing countries’ and least developed countries’ share of global services exports [17.11.1],,Percent,0.025185
2023,Normal value,Units,UNCTAD and WTO.,Developing countries’ and least developed countries’ share of global services exports [17.11.1],,Percent,0.025983
2015,Normal value,Units,UNCTAD and WTO.,Developing countries’ and least developed countries’ share of global merchandise imports [17.11.1],,Percent,0.033051
2016,Normal value,Units,UNCTAD and WTO.,Developing countries’ and least developed countries’ share of global merchandise imports [17.11.1],,Percent,0.029807
2017,Normal value,Units,UNCTAD and WTO.,Developing countries’ and least developed countries’ share of global merchandise imports [17.11.1],,Percent,0.031146
2018,Normal value,Units,UNCTAD and WTO.,Developing countries’ and least developed countries’ share of global merchandise imports [17.11.1],,Percent,0.033973
2019,Normal value,Units,UNCTAD and WTO.,Developing countries’ and least developed countries’ share of global merchandise imports [17.11.1],,Percent,0.039833
2020,Normal value,Units,UNCTAD and WTO.,Developing countries’ and least developed countries’ share of global merchandise imports [17.11.1],,Percent,0.046165
2021,Normal value,Units,UNCTAD and WTO.,Developing countries’ and least developed countries’ share of global merchandise imports [17.11.1],,Percent,0.04024
2022,Normal value,Units,UNCTAD and WTO.,Developing countries’ and least developed countries’ share of global merchandise imports [17.11.1],,Percent,0.037931
2023,Normal value,Units,UNCTAD and WTO.,Developing countries’ and least developed countries’ share of global merchandise imports [17.11.1],,Percent,0.050158
2015,Normal value,Units,UNCTAD and WTO.,Developing countries’ and least developed countries’ share of global services imports [17.11.1],,Percent,0.048066
2016,Normal value,Units,UNCTAD and WTO.,Developing countries’ and least developed countries’ share of global services imports [17.11.1],,Percent,0.040628
2017,Normal value,Units,UNCTAD and WTO.,Developing countries’ and least developed countries’ share of global services imports [17.11.1],,Percent,0.038374
2018,Normal value,Units,UNCTAD and WTO.,Developing countries’ and least developed countries’ share of global services imports [17.11.1],,Percent,0.04488
2019,Normal value,Units,UNCTAD and WTO.,Developing countries’ and least developed countries’ share of global services imports [17.11.1],,Percent,0.048377
2020,Normal value,Units,UNCTAD and WTO.,Developing countries’ and least developed countries’ share of global services imports [17.11.1],,Percent,0.062109
2021,Normal value,Units,UNCTAD and WTO.,Developing countries’ and least developed countries’ share of global services imports [17.11.1],,Percent,0.054189
2022,Normal value,Units,UNCTAD and WTO.,Developing countries’ and least developed countries’ share of global services imports [17.11.1],,Percent,0.047625
2023,Normal value,Units,UNCTAD and WTO.,Developing countries’ and least developed countries’ share of global services imports [17.11.1],,Percent,0.050936
