Year,SERIES,Value
2017,Proportion of population with basic handwashing facilities on premises [6.2.1],8.3
2020,Proportion of population with basic handwashing facilities on premises [6.2.1],7.6
2017,Proportion of population using safely managed sanitation services [6.2.1],17.9
2020,Proportion of population using safely managed sanitation services [6.2.1],20.7
