Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,UNIT_MEASURE,Value
2015,Normal value,Units,HMIS,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene [3.9.2]",,Percent,28.0
2016,Normal value,Units,HMIS,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene [3.9.2]",,Percent,31.0
2017,Normal value,Units,HMIS,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene [3.9.2]",,Percent,18.0
2018,Normal value,Units,HMIS,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene [3.9.2]",,Percent,16.0
2019,Normal value,Units,HMIS,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene [3.9.2]",,Percent,16.0
2020,Normal value,Units,HMIS,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene [3.9.2]",,Percent,3.6
2021,Normal value,Units,HMIS,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene [3.9.2]",,Percent,2.4
2022,Normal value,Units,HMIS,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene [3.9.2]",,Percent,2.5
2023,Normal value,Units,HMIS,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene [3.9.2]",,Percent,2.3
2024,Normal value,Units,HMIS,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene [3.9.2]",,Percent,3.0
