Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2019,Normal value,Units,"UN Department of Economic and Social Affairs(DESA ), Population Division International Organization for Migration (IOM )",Countries that have implemented well-managed migration policies  (1 = YES; 0 = NO) [10.7.2],,Policy Domain 1. Migrant rights,Score,3
2020,Normal value,Units,"UN Department of Economic and Social Affairs(DESA ), Population Division International Organization for Migration (IOM )",Countries that have implemented well-managed migration policies  (1 = YES; 0 = NO) [10.7.2],,Policy Domain 1. Migrant rights,Score,3
2019,Normal value,Units,"UN Department of Economic and Social Affairs(DESA ), Population Division International Organization for Migration (IOM )",Countries that have implemented well-managed migration policies  (1 = YES; 0 = NO) [10.7.2],,Policy Domain 2. Whole-of-government/ Evidence-based policies,Score,2
2019,Normal value,Units,"UN Department of Economic and Social Affairs(DESA ), Population Division International Organization for Migration (IOM )",Countries that have implemented well-managed migration policies  (1 = YES; 0 = NO) [10.7.2],,Policy Domain 3. Cooperation and partnerships,Score,4
2019,Normal value,Units,"UN Department of Economic and Social Affairs(DESA ), Population Division International Organization for Migration (IOM )",Countries that have implemented well-managed migration policies  (1 = YES; 0 = NO) [10.7.2],,Policy Domain 4. Socioeconomic well-being,Score,3
2019,Normal value,Units,"UN Department of Economic and Social Affairs(DESA ), Population Division International Organization for Migration (IOM )",Countries that have implemented well-managed migration policies  (1 = YES; 0 = NO) [10.7.2],,Policy Domain 5. Mobility dimensions of crises,Score,4
2019,Normal value,Units,"UN Department of Economic and Social Affairs(DESA ), Population Division International Organization for Migration (IOM )",Countries that have implemented well-managed migration policies  (1 = YES; 0 = NO) [10.7.2],,"""Policy Domain 6. Safe",Score,4
