Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Time period details,Value
2016,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,"""Primary Government expenditure on Lands",Percent,2021,152
2017,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,"""Primary Government expenditure on Lands",Percent,2021,83
2018,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,"""Primary Government expenditure on Lands",Percent,2021,115
2019,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,"""Primary Government expenditure on Lands",Percent,2021,111
2020,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,"""Primary Government expenditure on Lands",Percent,2021,41
2021,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,"""Primary Government expenditure on Lands",Percent,2021,109
2016,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Legislature,Percent,2021,112
2017,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Legislature,Percent,2021,108
2018,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Legislature,Percent,2021,115
2019,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Legislature,Percent,2021,114
2020,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Legislature,Percent,2021,92
2021,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Legislature,Percent,2021,87
2016,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Public Administration,Percent,2021,119
2017,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Public Administration,Percent,2021,105
2018,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Public Administration,Percent,2021,120
2019,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Public Administration,Percent,2021,132
2020,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Public Administration,Percent,2021,117
2021,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Public Administration,Percent,2021,141
2016,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Public Sector Management,Percent,2021,123
2017,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Public Sector Management,Percent,2021,90
2018,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Public Sector Management,Percent,2021,86
2019,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Public Sector Management,Percent,2021,84
2020,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Public Sector Management,Percent,2021,76
2021,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Public Sector Management,Percent,2021,72
2016,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Security,Percent,2021,101
2017,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Security,Percent,2021,96
2018,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Security,Percent,2021,120
2019,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Security,Percent,2021,114
2020,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Security,Percent,2021,120
2021,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Security,Percent,2021,126
2016,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Social Development,Percent,2021,78
2017,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Social Development,Percent,2021,64
2018,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Social Development,Percent,2021,90
2019,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Social Development,Percent,2021,83
2020,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Social Development,Percent,2021,64
2021,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Social Development,Percent,2021,84
2018,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,"""Primary Government expenditure on Science",Percent,2021,93
2019,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,"""Primary Government expenditure on Science",Percent,2021,32
2020,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,"""Primary Government expenditure on Science",Percent,2021,103
2021,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,"""Primary Government expenditure on Science",Percent,2021,60
2016,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,"""Primary Government expenditure on Tourism",Percent,2021,52
2017,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,"""Primary Government expenditure on Tourism",Percent,2021,48
2018,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,"""Primary Government expenditure on Tourism",Percent,2021,57
2019,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,"""Primary Government expenditure on Tourism",Percent,2021,42
2020,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,"""Primary Government expenditure on Tourism",Percent,2021,53
2021,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,"""Primary Government expenditure on Tourism",Percent,2021,83
2016,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Water and Environment,Percent,2021,104
2017,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Water and Environment,Percent,2021,79
2018,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Water and Environment,Percent,2021,106
2019,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Water and Environment,Percent,2021,86
2020,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Water and Environment,Percent,2021,76
2021,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Water and Environment,Percent,2021,63
2016,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Water and Transport,Percent,2021,64
2017,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Water and Transport,Percent,2021,64
2018,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Water and Transport,Percent,2021,74
2019,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Water and Transport,Percent,2021,80
2020,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Water and Transport,Percent,2021,61
2021,Normal value,Units,Administrative data from MOFPED,Primary government expenditures as a proportion of original approved budget [16.6.1],,Primary Government expenditure on Water and Transport,Percent,2021,89
