Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,UNIT_MEASURE,Value
2024,Normal value,Units,"Ministry of Gender, Labour and Social Development","""Existence of a developed and operationalized national strategy for youth employment",,Score,1
2025,Normal value,Units,"Ministry of Gender, Labour and Social Development","""Existence of a developed and operationalized national strategy for youth employment",,Score,1
