Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,UNIT_MEASURE,Value
2015,Normal value,Units,UBOS- Administrative data,Water Use Efficiency (United States dollars per cubic meter) [6.4.1],,United States dollars per cubic metre,42.291
2016,Normal value,Units,UBOS- Administrative data,Water Use Efficiency (United States dollars per cubic meter) [6.4.1],,United States dollars per cubic metre,-46.9
2017,Normal value,Units,UBOS- Administrative data,Water Use Efficiency (United States dollars per cubic meter) [6.4.1],,United States dollars per cubic metre,-3.8
2018,Normal value,Units,UBOS- Administrative data,Water Use Efficiency (United States dollars per cubic meter) [6.4.1],,United States dollars per cubic metre,-16.0
2019,Normal value,Units,UBOS- Administrative data,Water Use Efficiency (United States dollars per cubic meter) [6.4.1],,United States dollars per cubic metre,0.1
2020,Normal value,Units,UBOS- Administrative data,Water Use Efficiency (United States dollars per cubic meter) [6.4.1],,United States dollars per cubic metre,-6.5
2021,Normal value,Units,UBOS- Administrative data,Water Use Efficiency (United States dollars per cubic meter) [6.4.1],,United States dollars per cubic metre,15.3
2022,Normal value,Units,UBOS- Administrative data,Water Use Efficiency (United States dollars per cubic meter) [6.4.1],,United States dollars per cubic metre,14.7
2023,Normal value,Units,UBOS- Administrative data,Water Use Efficiency (United States dollars per cubic meter) [6.4.1],,United States dollars per cubic metre,41.7
2024,Normal value,Units,UBOS- Administrative data,Water Use Efficiency (United States dollars per cubic meter) [6.4.1],,United States dollars per cubic metre,43.4
2025,Normal value,Units,UBOS- Administrative data,Water Use Efficiency (United States dollars per cubic meter) [6.4.1],,United States dollars per cubic metre,44.0
