Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,Sex,UNIT_MEASURE,Value
2016,Normal value,Units,Uganda Demographic Health Survey,Proportion of children moderately or severely stunted [2.2.1],,,Percent,28.9
2022,Normal value,Units,Uganda Demographic Health Survey,Proportion of children moderately or severely stunted [2.2.1],,,Percent,24.4
2016,Normal value,Units,Uganda Demographic Health Survey,Proportion of children moderately or severely stunted [2.2.1],,Female,Percent,26.9
2022,Normal value,Units,Uganda Demographic Health Survey,Proportion of children moderately or severely stunted [2.2.1],,Female,Percent,21.6
2016,Normal value,Units,Uganda Demographic Health Survey,Proportion of children moderately or severely stunted [2.2.1],,Male,Percent,30.9
2022,Normal value,Units,Uganda Demographic Health Survey,Proportion of children moderately or severely stunted [2.2.1],,Male,Percent,27.2
