Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,UNIT_MEASURE,Value
2015,Normal value,Units,MoTWA,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables) [12.b.1],,Number,4
2016,Normal value,Units,MoTWA,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables) [12.b.1],,Number,4
2017,Normal value,Units,MoTWA,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables) [12.b.1],,Number,4
2018,Normal value,Units,MoTWA,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables) [12.b.1],,Number,4
2019,Normal value,Units,MoTWA,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables) [12.b.1],,Number,4
2020,Normal value,Units,MoTWA,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables) [12.b.1],,Number,5
