Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,UNIT_MEASURE,Value
2015,Normal value,Millions,UN Water Data Portal,"""Total official development assistance (gross disbursement) for water supply and sanitation",,USD,133.86
2016,Normal value,Millions,UN Water Data Portal,"""Total official development assistance (gross disbursement) for water supply and sanitation",,USD,142.32
2017,Normal value,Millions,UN Water Data Portal,"""Total official development assistance (gross disbursement) for water supply and sanitation",,USD,154.42
2018,Normal value,Millions,UN Water Data Portal,"""Total official development assistance (gross disbursement) for water supply and sanitation",,USD,164.32
2019,Normal value,Millions,UN Water Data Portal,"""Total official development assistance (gross disbursement) for water supply and sanitation",,USD,138.89
2020,Normal value,Millions,UN Water Data Portal,"""Total official development assistance (gross disbursement) for water supply and sanitation",,USD,177.01
2021,Normal value,Millions,UN Water Data Portal,"""Total official development assistance (gross disbursement) for water supply and sanitation",,USD,145.86
2022,Normal value,Millions,UN Water Data Portal,"""Total official development assistance (gross disbursement) for water supply and sanitation",,USD,114.66
2023,Normal value,Millions,UN Water Data Portal,"""Total official development assistance (gross disbursement) for water supply and sanitation",,USD,310.26
