Year,Observation status,Unit multiplier,SERIES,Reference area,UNIT_MEASURE,Source details,Value
2020,Normal value,Units,Liquid assets to short term liabilities (%) [10.5.1],,Percent,Bank of Uganda,51.0
2021,Normal value,Units,Liquid assets to short term liabilities (%) [10.5.1],,Percent,Bank of Uganda,48.76
2022,Normal value,Units,Liquid assets to short term liabilities (%) [10.5.1],,Percent,Bank of Uganda,49.66
2023,Normal value,Units,Liquid assets to short term liabilities (%) [10.5.1],,Percent,Bank of Uganda,52.24
2024,Normal value,Units,Liquid assets to short term liabilities (%) [10.5.1],,Percent,Bank of Uganda,58.0
2025,Normal value,Units,Liquid assets to short term liabilities (%) [10.5.1],,Percent,Bank of Uganda,66.57
2015,Normal value,Units,Net open position in foreign exchange to capital (%) [10.5.1],,Percent,Bank of Uganda,13.280068763075928
2016,Normal value,Units,Net open position in foreign exchange to capital (%) [10.5.1],,Percent,Bank of Uganda,-7.4
2017,Normal value,Units,Net open position in foreign exchange to capital (%) [10.5.1],,Percent,Bank of Uganda,-4.9
2018,Normal value,Units,Net open position in foreign exchange to capital (%) [10.5.1],,Percent,Bank of Uganda,-6.9
2019,Normal value,Units,Net open position in foreign exchange to capital (%) [10.5.1],,Percent,Bank of Uganda,-4.3
2020,Normal value,Units,Net open position in foreign exchange to capital (%) [10.5.1],,Percent,Bank of Uganda,-5.6
2021,Normal value,Units,Net open position in foreign exchange to capital (%) [10.5.1],,Percent,Bank of Uganda,5.41
2022,Normal value,Units,Net open position in foreign exchange to capital (%) [10.5.1],,Percent,Bank of Uganda,-5.09
2023,Normal value,Units,Net open position in foreign exchange to capital (%) [10.5.1],,Percent,Bank of Uganda,-1.57
2024,Normal value,Units,Net open position in foreign exchange to capital (%) [10.5.1],,Percent,Bank of Uganda,-6.38
2025,Normal value,Units,Net open position in foreign exchange to capital (%) [10.5.1],,Percent,Bank of Uganda,-4.03
