Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,Value
2017,A,0,GFS,SG_XPD_EDUC,,PT,13.3
2018,A,0,GFS,SG_XPD_EDUC,,PT,13.0
2019,A,0,GFS,SG_XPD_EDUC,,PT,12.2
2020,A,0,GFS,SG_XPD_EDUC,,PT,12.1
2021,A,0,GFS,SG_XPD_EDUC,,PT,14.7
2017,A,0,GFS,SG_XPD_HLTH,,PT,6.5
2018,A,0,GFS,SG_XPD_HLTH,,PT,6.2
2019,A,0,GFS,SG_XPD_HLTH,,PT,6.4
2020,A,0,GFS,SG_XPD_HLTH,,PT,9.2
2021,A,0,GFS,SG_XPD_HLTH,,PT,7.3
2017,A,0,GFS,SG_XPD_PROT,,PT,1.1
2018,A,0,GFS,SG_XPD_PROT,,PT,1.2
2019,A,0,GFS,SG_XPD_PROT,,PT,1.0
2020,A,0,GFS,SG_XPD_PROT,,PT,1.1
2021,A,0,GFS,SG_XPD_PROT,,PT,1.2
