Indicator,Disaggregation combinations using this value
#1-3-1,1
#1-4-1,2
#2-2-1,1
#2-2-2,2
#2-2-3,3
#3-2-2,1
#3-6-1,1
#3-a-1,1
#3-b-1,1
#4-1-1,8
#4-2-1,1
#4-3-1,1
#4-6-1,1
#5-2-2,1
#5-3-1,2
