Indicator
#1-1-1
#1-2-1
#1-2-2
#1-3-1
#1-4-1
#1-4-2
#1-a-2
#2-1-2
#2-2-1
#2-2-2
#2-2-3
#2-3-2
#2-5-1
#2-5-2
#2-a-1
#2-a-2
#3-1-1
#3-1-2
#3-2-2
#3-3-1
#3-3-2
#3-3-3
#3-3-4
#3-4-1
#3-4-2
#3-6-1
#3-7-1
#3-7-2
#3-8-1
#3-8-2
#3-9-2
#3-9-3
#3-a-1
#3-b-1
#4-1-1
#4-2-1
#4-2-2
