Value,Disaggregation combinations using this value,Number of indicators
Y0T17,2,1
Y10T14,1,1
Y15T19,1,1
Y15T24,3,1
Y15T49,4,2
Y18T29,2,1
Y18T30,1,1
Y1T14,2,1
Y1T17,1,1
Y20T24,2,1
Y31T59,1,1
Y5T17,4,2
Y_GE15,3,2
Y_GE18,2,1
Y_GE60,1,1
