Indicator,Disaggregation combinations using this value
#1-3-1,1
#1-4-1,2
#16-1-1,3
#16-1-3,3
#16-1-4,1
#16-2-1,1
#16-2-3,1
#16-3-1,1
#16-5-1,1
#16-6-2,1
#16-7-2,1
#16-9-1,1
#16-b-1,1
#2-2-1,1
#2-2-2,2
#3-2-1,2
#3-2-2,1
#3-6-1,1
#3-a-1,1
#3-b-1,1
#4-1-1,8
#4-1-2,2
#4-2-1,1
#4-3-1,1
#4-6-1,1
#5-4-1,1
#5-a-1,1
#5-b-1,1
#7-1-2,1
#8-3-1,1
#8-5-1,4
#8-5-2,1
#8-6-1,1
#8-7-1,1
#8-8-1,1
#9-2-2,1
