Indicator
#1-1-1
#1-2-1
#1-2-2
#1-3-1
#1-4-1
#1-4-2
#1-5-1
#1-5-2
#1-5-3
#1-5-4
#1-a-1
#1-a-2
#1-b-1
#2-1-1
#2-1-2
#2-2-1
#2-2-2
#2-2-3
#2-2-4
#2-3-1
#2-3-2
#2-4-1
#2-5-1
#2-5-2
#2-a-1
#2-a-2
#2-b-1
#2-c-1
#3-1-1
#3-1-2
#3-2-2
