Value,Disaggregation combinations using this value,Number of indicators
ISCO08_1,3,1
ISCO08_2,3,1
ISCO08_221,1,1
ISCO08_222_322,1,1
ISCO08_2612,1,1
ISCO08_2619R,1,1
ISCO08_3,3,1
ISCO08_4,3,1
