Indicator
#1-5-2
#1-5-3
#1-5-4
#1-a-1
#1-b-1
#10-3-1
#10-4-1
#10-4-2
#10-6-1
#10-7-3
#10-7-4
#10-c-1
#11-1-1
#11-2-1
#11-3-2
#11-5-1
#11-5-2
#11-5-3
#11-6-1
#11-7-1
#11-7-2
#11-a-1
#11-b-1
#11-b-2
#12-2-1
#12-2-2
#12-3-1
#12-4-2
#12-5-1
#12-6-1
#12-7-1
#12-8-1
#12-a-1
#12-c-1
#13-1-2
#13-1-3
#13-2-1
#13-2-2
#13-3-1
#13-a-1
#13-b-1
#14-1-1
#14-2-1
#14-3-1
#14-4-1
#14-5-1
#14-6-1
#14-7-1
#14-a-1
#14-b-1
#14-c-1
#15-1-2
#15-3-1
#15-4-1
#15-4-2
#15-a-1
#15-b-1
#15-c-1
#16-1-2
#16-10-1
#16-3-3
#16-4-1
#16-4-2
#16-5-2
#16-8-1
#17-10-1
#17-11-1
#17-12-1
#17-13-1
#17-14-1
#17-17-1
#17-18-1
#17-18-3
#17-2-1
#17-3-1
#17-5-1
#17-7-1
#17-9-1
#2-1-1
#2-2-4
#2-4-1
#2-b-1
#2-c-1
#3-3-5
#3-5-1
#3-5-2
#3-b-2
#4-b-1
#5-1-1 
#7-a-1
#7-b-1
#8-a-1
#9-3-2
#9-4-1
