Value,Disaggregation combinations using this value,Number of indicators
_L_UG_P3,6,1
_L_UG_P6,6,1
_L_UG_P7,9,2
_L_UG_S4,9,2
AGG_0_1,5,3
AGG_2_3,1,1
AGG_GE2,1,1
ISCED11_02,1,1
ISCED11_1,3,1
ISCED11_2,4,2
ISCED11_3,4,2
ISCED11_45,1,1
ISCED11_6,1,1
ISCED11_9,1,1
ISCED11_99,1,1
ISCED97_0,1,1
