Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,UNIT_MEASURE,Value
2015,Normal value,Units,Health Management Information System (HMIS) from Ministry of Health,"""Malaria incidence per 1",,"Per 1,000 population",193
2016,Normal value,Units,Health Management Information System (HMIS) from Ministry of Health,"""Malaria incidence per 1",,"Per 1,000 population",433
2017,Normal value,Units,Health Management Information System (HMIS) from Ministry of Health,"""Malaria incidence per 1",,"Per 1,000 population",382
2018,Normal value,Units,Health Management Information System (HMIS) from Ministry of Health,"""Malaria incidence per 1",,"Per 1,000 population",242
2019,Normal value,Units,Health Management Information System (HMIS) from Ministry of Health,"""Malaria incidence per 1",,"Per 1,000 population",340
2020,Normal value,Units,Health Management Information System (HMIS) from Ministry of Health,"""Malaria incidence per 1",,"Per 1,000 population",293
2021,Normal value,Units,Health Management Information System (HMIS) from Ministry of Health,"""Malaria incidence per 1",,"Per 1,000 population",302
2022,Normal value,Units,Health Management Information System (HMIS) from Ministry of Health,"""Malaria incidence per 1",,"Per 1,000 population",317
2023,Normal value,Units,Health Management Information System (HMIS) from Ministry of Health,"""Malaria incidence per 1",,"Per 1,000 population",292
2024,Normal value,Units,Health Management Information System (HMIS) from Ministry of Health,"""Malaria incidence per 1",,"Per 1,000 population",241
