Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,Value
2017,A,0,Administrative data from MOFPED,DC_TRF_TFDV,,USD,1210819832
2018,A,0,Administrative data from MOFPED,DC_TRF_TFDV,,USD,1518625338
2019,A,0,Administrative data from MOFPED,DC_TRF_TFDV,,USD,1542000000
2020,A,0,Administrative data from MOFPED,DC_TRF_TFDV,,USD,2354000000
2021,A,0,Administrative data from MOFPED,DC_TRF_TFDV,,USD,1766000000
