Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,TIME_DETAIL,Value
2015,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_EDUCATION,PT,,95.2
2016,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_EDUCATION,PT,,83.0
2017,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_EDUCATION,PT,,80.0
2018,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_EDUCATION,PT,,81.0
2019,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_EDUCATION,PT,,86.0
2020,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_EDUCATION,PT,,93.0
2021,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_EDUCATION,PT,,91.0
2022,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_EDUCATION,PT,,98.7
2010,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_ENERGY_AND_MINERAL_DEVELOPMENT,PT,,95.4
2011,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_ENERGY_AND_MINERAL_DEVELOPMENT,PT,,152.2
2012,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_ENERGY_AND_MINERAL_DEVELOPMENT,PT,,89.9
2013,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_ENERGY_AND_MINERAL_DEVELOPMENT,PT,,9.3
2014,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_ENERGY_AND_MINERAL_DEVELOPMENT,PT,,14.1
2015,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_ENERGY_AND_MINERAL_DEVELOPMENT,PT,,52.0
2016,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_ENERGY_AND_MINERAL_DEVELOPMENT,PT,,18.0
2017,A,0,"Minitry of Finance, Planning and Economic Development",_L_UG_160601_1,,_L_UG_ENERGY_AND_MINERAL_DEVELOPMENT,PT,,25.0
