Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,Value
2006,A,0,MINISTRY OF ENERGY AND MINERAL DEVELOPMENT,EG_FEC_RNEW,,PT,25.5
2015,A,0,MINISTRY OF ENERGY AND MINERAL DEVELOPMENT,EG_FEC_RNEW,,PT,89.5
2016,A,0,MINISTRY OF ENERGY AND MINERAL DEVELOPMENT,EG_FEC_RNEW,,PT,88.6
2017,A,0,MINISTRY OF ENERGY AND MINERAL DEVELOPMENT,EG_FEC_RNEW,,PT,88.1
2018,A,0,MINISTRY OF ENERGY AND MINERAL DEVELOPMENT,EG_FEC_RNEW,,PT,87.7
2019,A,0,MINISTRY OF ENERGY AND MINERAL DEVELOPMENT,EG_FEC_RNEW,,PT,87.4
2020,A,0,MINISTRY OF ENERGY AND MINERAL DEVELOPMENT,EG_FEC_RNEW,,PT,90.5
2021,A,0,MINISTRY OF ENERGY AND MINERAL DEVELOPMENT,EG_FEC_RNEW,,PT,89.1
2022,A,0,MINISTRY OF ENERGY AND MINERAL DEVELOPMENT,EG_FEC_RNEW,,PT,87.7
2023,A,0,MINISTRY OF ENERGY AND MINERAL DEVELOPMENT,EG_FEC_RNEW,,PT,87.4
2024,A,0,MINISTRY OF ENERGY AND MINERAL DEVELOPMENT,EG_FEC_RNEW,,PT,86.8
