Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,UNIT_MEASURE,Value
2016,Normal value,Units,National Accounts Statistics,Annual growth rate of real GDP per capita [8.1.1],,Percent,4.8
2017,Normal value,Units,National Accounts Statistics,Annual growth rate of real GDP per capita [8.1.1],,Percent,3.9
2018,Normal value,Units,National Accounts Statistics,Annual growth rate of real GDP per capita [8.1.1],,Percent,6.2
2019,Normal value,Units,National Accounts Statistics,Annual growth rate of real GDP per capita [8.1.1],,Percent,6.5
2020,Normal value,Units,National Accounts Statistics,Annual growth rate of real GDP per capita [8.1.1],,Percent,-0.3
2021,Normal value,Units,National Accounts Statistics,Annual growth rate of real GDP per capita [8.1.1],,Percent,0.2
