Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,TIME_DETAIL,Value
2016,A,0,UDHS,VC_VAW_SXVLN,,F,Y18T29,PT,2016,5.2
2016,A,0,UDHS,VC_VAW_SXVLN,,M,Y18T29,PT,2016,1.3
