Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,Value
2017,A,0,UBOS - NATIONAL ACCOUNTS STATISTICS,GB_XPD_RSDV,,PT,0.5
2018,A,0,UBOS - NATIONAL ACCOUNTS STATISTICS,GB_XPD_RSDV,,PT,0.6
2019,A,0,UBOS - NATIONAL ACCOUNTS STATISTICS,GB_XPD_RSDV,,PT,0.5
2020,A,0,UBOS - NATIONAL ACCOUNTS STATISTICS,GB_XPD_RSDV,,PT,0.4
2021,A,0,UBOS - NATIONAL ACCOUNTS STATISTICS,GB_XPD_RSDV,,PT,0.4
2022,A,0,UBOS - NATIONAL ACCOUNTS STATISTICS,GB_XPD_RSDV,,PT,0.6
2023,A,0,UBOS - NATIONAL ACCOUNTS STATISTICS,GB_XPD_RSDV,,PT,0.8
2024,A,0,UBOS - NATIONAL ACCOUNTS STATISTICS,GB_XPD_RSDV,,PT,0.7
2025,A,0,UBOS - NATIONAL ACCOUNTS STATISTICS,GB_XPD_RSDV,,PT,0.8
