Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,A,0,Ministry of Gender and Social Development,SL_EMP_RCOST,,USD,3.3
2016,A,0,Ministry of Gender and Social Development,SL_EMP_RCOST,,USD,3.1
2017,A,0,Ministry of Gender and Social Development,SL_EMP_RCOST,,USD,3.1
2018,A,0,Ministry of Gender and Social Development,SL_EMP_RCOST,,USD,3.0
2019,A,0,Ministry of Gender and Social Development,SL_EMP_RCOST,,USD,3.1
2020,A,0,Ministry of Gender and Social Development,SL_EMP_RCOST,,USD,3.1
2021,A,0,Ministry of Gender and Social Development,SL_EMP_RCOST,,USD,3.1
2022,A,0,Ministry of Gender and Social Development,SL_EMP_RCOST,,USD,3.1
2023,A,0,Ministry of Gender and Social Development,SL_EMP_RCOST,,USD,2.9
2024,A,0,Ministry of Gender and Social Development,SL_EMP_RCOST,,USD,3.3
